City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Bani Walid,LY,31.7566,13.9942,94.59,22,2,19.77,clear sky
171,Bollnas,SE,61.3482,16.3946,59.13,88,100,4.65,overcast clouds
172,Mananjary,MG,-21.2167,48.3333,69.21,87,0,10.31,clear sky
173,Kijang,KR,35.2442,129.2139,73.13,85,89,5.93,overcast clouds
174,Modasa,IN,23.4667,73.3,77.49,91,14,10.56,few clouds
175,Imeni Poliny Osipenko,RU,52.4201,136.4853,55.33,86,24,2.39,few clouds
176,Namibe,AO,-15.1961,12.1522,62.08,88,42,5.5,scattered clouds
177,Carlsbad,US,33.1581,-117.3506,96.35,74,0,10.36,clear sky
178,Lumby,CA,50.2498,-118.969,88.05,34,13,1.14,few clouds
179,Bonthe,SL,7.5264,-12.505,78.17,79,95,11.34,overcast clouds
180,College,US,64.8569,-147.8028,61.07,62,20,9.22,few clouds
181,Saint-Augustin,CA,51.226,-58.6502,66.92,59,100,13.65,overcast clouds
182,Leshukonskoye,RU,64.8989,45.7622,71.6,58,41,4.97,scattered clouds
183,Grindavik,IS,63.8424,-22.4338,55.87,71,75,18.41,broken clouds
184,Dunedin,NZ,-45.8742,170.5036,48.78,92,33,8.57,scattered clouds
185,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.79,88,100,13.8,light intensity drizzle rain
186,Cherskiy,RU,68.75,161.3,53.01,44,100,10.78,overcast clouds
187,Narsaq,GL,60.9167,-46.05,57.42,44,0,4.56,clear sky
188,Laguna,US,38.421,-121.4238,95.31,43,0,4.61,clear sky
189,Pimentel,PE,-6.8367,-79.9342,68.29,64,20,14.97,few clouds
190,Yulara,AU,-25.2406,130.9889,47.26,63,5,10.83,clear sky
191,Kudahuvadhoo,MV,2.6708,72.8944,82.08,74,84,4.9,broken clouds
192,Nara,JP,34.6851,135.8049,77.5,62,10,1.41,clear sky
193,Grand Forks,US,47.9417,-97.4337,69.53,88,100,8.05,light rain
194,Henties Bay,NA,-22.116,14.2845,55.0,86,37,13.91,scattered clouds
195,Pevek,RU,69.7008,170.3133,38.73,76,0,1.7,clear sky
196,Honiara,SB,-9.4333,159.95,75.51,88,94,4.56,overcast clouds
197,Tarakan,ID,3.3,117.6333,76.5,94,20,3.44,few clouds
198,Grand-Santi,GF,4.25,-54.3833,83.1,77,46,3.78,scattered clouds
199,Keetmanshoop,NA,-26.5833,18.1333,51.24,48,18,17.25,few clouds
200,Codrington,AU,-38.2667,141.9667,42.89,89,22,9.46,few clouds
201,Baruun-Urt,MN,46.6806,113.2792,45.59,93,37,6.35,scattered clouds
202,Makubetsu,JP,45.3714,141.8211,63.48,82,63,11.79,broken clouds
203,Luba,GQ,3.4568,8.5547,76.19,87,100,6.51,light rain
204,Gbarnga,LR,6.9956,-9.4722,78.19,79,86,3.11,light rain
205,Meadow Lake,US,34.8014,-106.5436,82.69,44,20,2.1,few clouds
206,Estelle,US,29.8458,-90.1067,82.99,67,75,6.91,broken clouds
207,Klaksvik,FO,62.2266,-6.589,52.72,88,84,23.22,broken clouds
208,Garissa,KE,-0.4536,39.6401,78.15,55,71,24.02,broken clouds
209,San Carlos Del Zulia,VE,9.0,-71.9135,92.53,48,4,3.71,clear sky
210,Palmer,US,42.1584,-72.3287,84.15,43,75,11.5,broken clouds
211,General Pico,AR,-35.6566,-63.7568,56.08,18,0,11.32,clear sky
212,San Patricio,US,28.017,-97.5169,94.89,49,91,4.9,overcast clouds
213,San Marcos,US,33.1434,-117.1661,95.86,63,0,10.36,clear sky
214,Safaga,EG,26.7292,33.9365,91.24,39,0,7.58,clear sky
215,Cape Coast,GH,5.1053,-1.2466,74.75,83,71,15.55,broken clouds
216,Borovoy,RU,55.4333,86.0833,51.08,81,0,0.0,clear sky
217,Canora,CA,51.6333,-102.4343,77.02,40,11,10.4,few clouds
218,Tiksi,RU,71.6872,128.8694,40.93,97,99,12.71,overcast clouds
219,Miyako,JP,39.6367,141.9525,65.98,89,57,5.03,broken clouds
220,Ilulissat,GL,69.2167,-51.1,42.82,81,75,5.75,broken clouds
221,Nanortalik,GL,60.1432,-45.2371,42.1,74,12,14.2,few clouds
222,Ha Tinh,VN,18.3333,105.9,78.17,87,71,4.97,broken clouds
223,Camopi,GF,3.1655,-52.3158,84.2,67,65,1.59,broken clouds
224,Bambous Virieux,MU,-20.3428,57.7575,70.21,78,20,10.36,few clouds
225,Minot,US,48.2325,-101.2963,75.42,60,40,13.8,scattered clouds
226,Verkhoyansk,RU,67.5447,133.385,52.74,80,81,3.11,light rain
227,Shimoda,JP,34.6667,138.95,74.1,79,2,3.8,clear sky
228,Meulaboh,ID,4.1363,96.1285,77.23,89,71,4.07,broken clouds
229,Labuhan,ID,-6.8844,112.2051,77.47,83,9,5.77,clear sky
230,Hobyo,SO,5.3505,48.5268,76.91,82,83,26.31,broken clouds
231,Karachi,PK,24.9056,67.0822,82.22,83,100,6.91,smoke
232,Norman Wells,CA,65.282,-126.8329,71.64,43,75,5.75,broken clouds
233,Kaitangata,NZ,-46.2817,169.8464,47.82,90,43,6.31,scattered clouds
234,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,93,100,6.91,light rain
235,Clyde River,CA,70.4692,-68.5914,44.83,87,75,6.91,broken clouds
236,Bac Lieu,VN,9.285,105.7244,79.93,84,80,9.01,broken clouds
237,Husavik,IS,66.0449,-17.3389,53.53,77,98,8.14,overcast clouds
238,Sri Aman,MY,1.2376,111.4621,75.25,94,97,0.0,overcast clouds
239,Kununurra,AU,-15.7667,128.7333,49.98,81,10,0.0,clear sky
240,Vila Velha,BR,-20.3297,-40.2925,78.75,74,40,18.41,scattered clouds
241,Valdosta,US,30.8327,-83.2785,87.71,62,75,3.44,broken clouds
242,Ailigandi,PA,9.2333,-78.0167,84.29,72,100,8.57,overcast clouds
243,Endicott,US,42.0984,-76.0494,82.36,57,0,10.36,clear sky
244,Katangli,RU,51.7102,143.2326,61.65,81,39,8.37,scattered clouds
245,Ostrovnoy,RU,68.0531,39.5131,51.21,90,100,10.6,overcast clouds
246,Yeppoon,AU,-23.1333,150.7333,47.98,82,0,2.71,clear sky
247,Guerrero Negro,MX,27.9769,-114.0611,80.04,59,95,10.87,overcast clouds
248,Beeville,US,28.4008,-97.7483,94.28,52,75,4.61,broken clouds
249,Kalmunai,LK,7.4167,81.8167,78.22,82,99,9.84,overcast clouds
